6001,1,3400,2012-02-07 00: 00,1
6002,2,5900,2012-02-06 00: 00,5
6003,3,8450,2012-02-08 00: 00,2
6004,4,7300,2012-02-29 00: 00,3
6005,5,11350,2012-04-04 00: 00,4
6006,6,3450,2012-05-27 00: 00,11
6007,7,6000,2012-07-10 00: 00,12
6008,8,3840,2012-08-03 00: 00,16
6009,9,3980,2012-10-15 00: 00,17
6010,10,12600,2012-11-07 00: 00,23
6011,11,10000,2013-01-03 00: 00,22
6012,12,8950,2013-02-17 00: 00,20
6013,13,3800,2013-03-16 00: 00,6
6014,14,1500,2013-03-16 00: 00,8
6015,15,6850,2013-03-15 00: 00,7
6016,16,3360,2013-06-03 00: 00,9
6017,17,3000,2013-08-17 00: 00,13
6018,18,6600,2013-08-18 00: 00,10
6019,19,8000,2013-08-15 00: 00,14
6020,20,4500,2013-11-25 00: 00,18
6021,21,6000,2013-12-31 00: 00,15
6022,22,8800,2013-12-31 00: 00,21
6023,23,3500,2013-12-31 00: 00,19
6024,24,5000,2013-12-31 00: 00,25
6025,25,10300,2013-12-31 00: 00,24
6026,26,2800,2013-12-31 00: 00,27
6027,27,6000,2014-01-01 00: 00,26
6028,28,3000,2014-01-03 00: 00,29
6029,29,9500,2014-01-03 00: 00,28
6030,30,3900,2014-01-20 00: 00,30
